TITLE,NODE ID,impact_areas
Historic Deutschtown: Live - Work - Play - Invest Here,24210,"Neighbors working together,Sharing,Environment"
Re-imagine West Colfax,24220,"Safer streets,Public Art,Placemaking,TU,Environment"
Bronx Students Investigate Transit Pricing,24305,"Social Justice,Schools,Environment,Citizen Science"
North Side Sound System,24356,"Neighbors working together,Sharing,Environment"
Burke's Wants a Bike,24435,"Safer streets,Environment"
Art Olympic Festival,24448,"Public Art,Placemaking,Neighbors working together,Environment"
Urban Community Food Project 2015 Expansion,24461,"food,Environment"
Groundwork Greens,24702,"food,Public Health,Social Justice,Neighbors working together,Environment"
We want to buy James a lawnmower,24738,"Placemaking,Neighbors working together,Environment"
Cville Repair Cafe,24757,"Neighbors working together,Sharing,Environment"
Permaculture Park Project,24761,"food,Placemaking,Neighbors working together,Sharing,Environment"
Capitol Hill Tool Library,24808,"Neighbors working together,Sharing,Environment"
"One-BEEing, Hartford",24816,"food,Social Justice,Neighbors working together,Environment"
WSHS Locker Room,24855,"Schools,Environment"
Make It Mar Vista,24876,"Safer streets,Public Art,Placemaking,TU,Neighbors working together,Environment"
Peace Room,24877,"Public Health,Environment"
Street Beats Fundraising Campaign,24881,"Safer streets,Placemaking,TU,Neighbors working together,Environment"
peace.love.swap & PLAY! Community Center,24886,"Neighbors working together,Sharing,Environment"
REvisit REseda Blvd,24888,"Safer streets,Public Art,Placemaking,TU,Neighbors working together,Environment"
YES (Youth Envisioned Streets) for a Healthier South LA,24920,"food,Safer streets,Public Health,Placemaking,TU,Neighbors working together,Environment"
Fig Jam,24921,"Safer streets,Public Health,Public Art,Placemaking,TU,Neighbors working together,Environment"
Nuestra Avenida: Cesar Chavez Reimagined,24923,"Safer streets,Placemaking,TU,Neighbors working together,Environment"
Pacoima Street Values,24924,"Safer streets,Placemaking,TU,Neighbors working together,Environment"
Connect the Dots | Van Nuys,24925,"Safer streets,Placemaking,TU,Neighbors working together,Environment"
Peterson Garden Project Kids in the Kitchen,25028,"food,Schools,Environment"
Heathside Cottage Open House: Autumn Harvest,25138,"food,Placemaking,Neighbors working together,Environment"
CAM: Growing Micro-Entrepreneurs,25204,"Public Art,Neighbors working together,Environment"
Sonny Bono Park Rehabilitation Project,25213,"Placemaking,Neighbors working together,Environment"
Resiliency Project,25232,"Safer streets,Public Art,Social Justice,Environment"
Bend Energy Challenge: Youth Energy Heroes,25283,"Schools,Environment"
LETS GET THE ARTS!,25385,"Schools,Environment"
Garden's Garage,25445,"Placemaking,Neighbors working together,Environment"
Back to School Bash,25447,"Neighbors working together,Schools,Environment"
Grafitti Garages at Spang Mountain,#N/A,"Public Art,Placemaking,Neighbors working together,Environment"
Central Ave/Tobey Park Underpass Mural,25514,"Public Art,Environment"
Open Streets Knoxville,25573,"Public Health,Placemaking,Neighbors working together,Environment"
"NEWT Miami: Experiments in Light, Color & Sound",25727,"Public Art,Environment"
Homestead Air Reserve Park (HARP) Discgolf Course,25856,"Public Health,Placemaking,Neighbors working together,Environment"
Healing Garden in Jackson Memorial Hospital,25984,"Public Health,Social Justice,Environment"
Freshkills Park Tweeting Bird Boxes,26046,"Environment,Citizen Science"
FoodSpark Miami: Creative Gatherings Connecting Miamians via Food & Conversation!,#N/A,"food,Placemaking,Social Justice,Neighbors working together,Environment"
GrooveMiami,26104,"Public Health,Placemaking,Environment"
Stockyards Connections Community Center,26109,"Placemaking,Social Justice,Neighbors working together,Environment"
